iso3c	ht_colonial	lexp	gdpc	pop	country	continent	region
AFG	0	66.035	2201.72290691677	41454761	Afghanistan	Asia	South Asia
ALB	0	79.602	25011.1181110199	2414095	Albania	Europe	Europe & Central Asia
DZA	6	76.261	16824.4879034627	46164219	Algeria	Africa	Middle East & North Africa
AND	0	84.041	71730.668682165	80856	Andorra	Europe	Europe & Central Asia
AGO	7	64.617	9753.60046763783	36749906	Angola	Africa	Sub-Saharan Africa
ATG	5	77.598	31601.7527146877	93316	Antigua & Barbuda	Americas	Latin America & Caribbean
AZE	0	74.429	23651.5994852756	10153958	Azerbaijan	Asia	Europe & Central Asia
ARG	2	77.395	30221.4976888753	45538401	Argentina	Americas	Latin America & Caribbean
AUS	0	83.0512195121951	72272.7092136683	26659922	Australia	Oceania	East Asia & Pacific
AUT	0	81.5414634146342	73544.6567230487	9131761	Austria	Europe	Europe & Central Asia
BHS	5	74.552	39090.1214737976	399440	Bahamas	Americas	Latin America & Caribbean
BHR	5	81.284	64171.0857359052	1577059	Bahrain	Asia	Middle East & North Africa
BGD	5	74.672	9147.7775066555	171466990	Bangladesh	Asia	South Asia
ARM	0	77.4658536585366	21534.030536117	2964300	Armenia	Asia	Europe & Central Asia
BRB	5	76.178	23660.4047512929	282336	Barbados	Americas	Latin America & Caribbean
BEL	0	82.3975609756098	71946.1447190292	11779946	Belgium	Europe	Europe & Central Asia
BTN	5	72.975	16215.1520073153	786385	Bhutan	Asia	South Asia
BOL	2	68.581	12892.1249578777	12244159	Bolivia	Americas	Latin America & Caribbean
BIH	0	77.85	23335.6038858207	3185073	Bosnia & Herzegovina	Europe	Europe & Central Asia
BWA	5	69.163	21012.10319925	2480244	Botswana	Africa	Sub-Saharan Africa
BRA	7	75.848	21175.6186988214	211140729	Brazil	Americas	Latin America & Caribbean
BLZ	5	73.566	13729.892058721	411106	Belize	Americas	Latin America & Caribbean
SLB	5	70.528	2596.56364252803	800005	Solomon Islands	Oceania	East Asia & Pacific
BRN	5	75.327	85032.6008741995	458949	Brunei	Asia	East Asia & Pacific
BGR	0	75.7073170731707	38804.100900756	6446596	Bulgaria	Europe	Europe & Central Asia
MMR	5	66.889	5953.35735165913	54133798	Myanmar (Burma)	Asia	East Asia & Pacific
BDI	8	63.651	1149.98405842389	13689450	Burundi	Africa	Sub-Saharan Africa
BLR	0	74.1837804878049	30834.177366811098	9178298	Belarus	Europe	Europe & Central Asia
KHM	6	70.668	7430.73085709837	17423880	Cambodia	Asia	East Asia & Pacific
CMR	6	63.7	5410.76921937642	28372687	Cameroon	Africa	Sub-Saharan Africa
CAN	0	81.6465853658537	64219.3173928637	40083484	Canada	Americas	North America
CPV	7	76.059	10242.1532011212	522331	Cape Verde	Africa	Sub-Saharan Africa
CAF	6	57.408	1257.09435717114	5152421	Central African Republic	Africa	Sub-Saharan Africa
LKA	5	77.483	14455.6544414734	22037000	Sri Lanka	Asia	South Asia
TCD	6	55.069	2700.36055335878	19319064	Chad	Africa	Sub-Saharan Africa
CHL	2	81.167	33145.403552025	19658835	Chile	Americas	Latin America & Caribbean
CHN	0	77.953	25179.1193066383	1410710000	China	Asia	East Asia & Pacific
TWN	0	NA	NA	NA	Taiwan	Asia	East Asia & Pacific
COL	2	77.725	21246.3762695201	52321152	Colombia	Americas	Latin America & Caribbean
COM	6	66.777	3811.65084882413	850387	Comoros	Africa	Sub-Saharan Africa
COG	6	65.772	6850.27770621099	6182885	Congo - Brazzaville	Africa	Sub-Saharan Africa
COD	8	61.895	1730.62228877694	105789731	Congo - Kinshasa	Africa	Sub-Saharan Africa
CRI	2	80.799	28908.7688743191	5105525	Costa Rica	Americas	Latin America & Caribbean
HRV	0	78.4731707317073	47959.4354345969	3859686	Croatia	Europe	Europe & Central Asia
CUB	2	NA	NA	NA	Cuba	Americas	Latin America & Caribbean
CYP	5	81.648	59422.90234375	1344976	Cyprus	Asia	Europe & Central Asia
CZE	0	79.8780487804878	55761.3798291375	10864042	Czechia	Europe	Europe & Central Asia
BEN	6	60.774	4129.9661200142	14111034	Benin	Africa	Sub-Saharan Africa
DNK	0	81.8536585365854	77892.2932609904	5946952	Denmark	Europe	Europe & Central Asia
DMA	5	71.132	20285.9821663707	66510	Dominica	Americas	Latin America & Caribbean
DOM	2	73.72	25839.9356687607	11331265	Dominican Republic	Americas	Latin America & Caribbean
ECU	2	77.392	15918.5162948773	17980083	Ecuador	Americas	Latin America & Caribbean
SLV	2	72.099	12679.5768752061	6309624	El Salvador	Americas	Latin America & Caribbean
GNQ	2	63.707	17411.500234384	1847549	Equatorial Guinea	Africa	Sub-Saharan Africa
ETH	0	67.315	3060.9050300376002	128691692	Ethiopia	Africa	Sub-Saharan Africa
ERI	5	NA	NA	NA	Eritrea	Africa	Sub-Saharan Africa
